2016,Borough,Precinct,Crashes,Bicyclist Injuries,Bicyclist Fatalities
2016,Manhattan,1,1,1,0
2016,Manhattan,5,3,8,0
2016,Manhattan,6,4,3,0
2016,Manhattan,7,1,1,0
2016,Manhattan,9,0,0,0
2016,Manhattan,10,2,1,0
2016,Manhattan,13,1,1,0
2016,Manhattan,14,1,2,0
2016,Manhattan,17,0,0,0
2016,Manhattan,18,1,0,0
2016,Manhattan,19,2,2,0
2016,Manhattan,20,3,3,0
2016,Manhattan,22,44,62,0
2016,Manhattan,23,0,0,0
2016,Manhattan,24,0,0,0
2016,Manhattan,25,0,0,0
2016,Manhattan,26,0,0,0
2016,Manhattan,28,1,1,0
2016,Manhattan,30,0,0,0
2016,Manhattan,32,0,0,0
2016,Manhattan,33,1,1,0
2016,Manhattan,34,0,0,0
2016,Bronx,40,0,0,0
2016,Bronx,41,0,0,0
2016,Bronx,42,0,0,0
2016,Bronx,43,0,0,0
2016,Bronx,44,0,0,0
2016,Bronx,45,0,0,0
2016,Bronx,46,0,0,0
2016,Bronx,47,0,0,0
2016,Bronx,48,0,0,0
2016,Bronx,49,0,0,0
2016,Bronx,50,0,0,0
2016,Bronx,52,0,0,0
2016,Brooklyn,60,0,0,0
2016,Brooklyn,61,0,0,0
2016,Brooklyn,62,2,2,0
2016,Brooklyn,63,0,0,0
2016,Brooklyn,66,0,0,0
2016,Brooklyn,67,0,0,0
2016,Brooklyn,68,0,0,0
2016,Brooklyn,69,0,0,0
2016,Brooklyn,70,0,0,0
2016,Brooklyn,71,1,2,0
2016,Brooklyn,72,2,3,0
2016,Brooklyn,73,0,0,0
2016,Brooklyn,75,0,0,0
2016,Brooklyn,76,0,0,0
2016,Brooklyn,77,0,0,0
2016,Brooklyn,78,6,10,0
2016,Brooklyn,79,2,3,0
2016,Brooklyn,81,0,0,0
2016,Brooklyn,83,0,0,0
2016,Brooklyn,84,0,0,0
2016,Brooklyn,88,2,1,0
2016,Brooklyn,90,1,1,0
2016,Brooklyn,94,2,4,0
2016,Queens,100,2,2,0
2016,Queens,101,0,0,0
2016,Queens,102,0,0,0
2016,Queens,103,0,0,0
2016,Queens,104,0,0,0
2016,Queens,105,0,0,0
2016,Queens,106,0,0,0
2016,Queens,107,0,0,0
2016,Queens,108,1,2,0
2016,Queens,109,0,0,0
2016,Queens,110,0,0,0
2016,Queens,111,0,0,0
2016,Queens,112,0,0,0
2016,Queens,113,0,0,0
2016,Queens,114,2,3,0
2016,Queens,115,1,2,0
2016,Staten Island,120,0,0,0
2016,Staten Island,121,0,0,0
2016,Staten Island,121,0,0,0
2016,Staten Island,122,0,0,0
