Year,Borough,Precinct,Crashes,Pedestrian Injuries,Pedestrian Fatalities,Bicyclist Injuries,Bicyclist Fatalities
2016,Manhattan,1,9,10,0,2,0
2016,Manhattan,5,7,7,0,0,0
2016,Manhattan,6,8,7,0,1,0
2016,Manhattan,7,4,4,0,3,0
2016,Manhattan,9,11,11,0,1,0
2016,Manhattan,10,9,7,0,2,0
2016,Manhattan,13,20,20,0,2,0
2016,Manhattan,14,25,24,0,1,0
2016,Manhattan,17,8,9,0,0,0
2016,Manhattan,18,12,12,0,1,0
2016,Manhattan,19,19,15,0,4,0
2016,Manhattan,20,7,5,0,2,0
2016,Manhattan,22,29,14,0,16,0
2016,Manhattan,23,5,4,0,1,0
2016,Manhattan,24,7,7,0,0,0
2016,Manhattan,25,3,3,0,0,0
2016,Manhattan,26,3,3,0,0,0
2016,Manhattan,28,1,1,0,0,0
2016,Manhattan,30,5,4,0,0,0
2016,Manhattan,32,1,1,0,0,0
2016,Manhattan,33,3,3,0,0,0
2016,Manhattan,34,2,2,0,1,0
2016,Bronx,40,3,3,0,1,0
2016,Bronx,41,2,2,0,1,0
2016,Bronx,42,1,1,0,0,0
2016,Bronx,43,4,3,0,0,0
2016,Bronx,44,0,0,0,0,0
2016,Bronx,45,2,2,0,0,0
2016,Bronx,46,0,0,0,0,0
2016,Bronx,47,2,2,0,0,0
2016,Bronx,48,1,1,0,0,0
2016,Bronx,49,1,1,0,0,0
2016,Bronx,50,2,2,0,0,0
2016,Bronx,52,3,3,0,1,0
2016,Brooklyn,60,2,2,0,0,0
2016,Brooklyn,61,4,4,0,1,0
2016,Brooklyn,62,7,5,0,1,0
2016,Brooklyn,63,1,0,0,0,0
2016,Brooklyn,66,5,6,0,0,0
2016,Brooklyn,67,4,4,0,0,0
2016,Brooklyn,68,2,2,0,1,0
2016,Brooklyn,69,0,0,0,0,0
2016,Brooklyn,70,2,3,0,0,0
2016,Brooklyn,71,4,3,0,0,0
2016,Brooklyn,72,6,7,0,1,0
2016,Brooklyn,73,2,2,0,0,0
2016,Brooklyn,75,4,4,0,0,0
2016,Brooklyn,76,1,1,0,0,0
2016,Brooklyn,77,3,3,0,1,0
2016,Brooklyn,78,7,5,0,5,0
2016,Brooklyn,79,4,5,0,0,0
2016,Brooklyn,81,1,1,0,0,0
2016,Brooklyn,83,3,3,0,0,0
2016,Brooklyn,84,17,13,0,6,0
2016,Brooklyn,88,4,4,0,0,0
2016,Brooklyn,90,6,4,0,3,0
2016,Brooklyn,94,3,3,0,1,0
2016,Queens,100,0,0,0,0,0
2016,Queens,101,1,1,0,0,0
2016,Queens,102,0,0,0,0,0
2016,Queens,103,0,0,0,0,0
2016,Queens,104,4,4,0,0,0
2016,Queens,105,1,0,0,1,0
2016,Queens,106,0,0,0,0,0
2016,Queens,107,1,1,0,0,0
2016,Queens,108,5,4,0,1,0
2016,Queens,109,3,2,0,0,0
2016,Queens,110,5,6,0,0,0
2016,Queens,111,0,0,0,0,0
2016,Queens,112,2,2,0,0,0
2016,Queens,113,1,1,0,0,0
2016,Queens,114,5,5,0,0,0
2016,Queens,115,8,6,0,2,0
2016,Staten Island,120,1,1,0,0,0
2016,Staten Island,121,0,0,0,0,0
2016,Staten Island,122,1,1,0,0,0
2016,Staten Island,123,0,0,0,0,0
