indicator_data_id,indicator_id,name,Measure,geo_type_name,geo_entity_id,geo_entity_name,year_description,data_valuemessage
130782,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,1,Bronx,2005-2007,76.5
130782,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,1,Bronx,2005-2007,76.5
130783,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,2,Brooklyn,2005-2007,67.8
130783,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,2,Brooklyn,2005-2007,67.8
130784,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,3,Manhattan,2005-2007,64
130784,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,3,Manhattan,2005-2007,64
130785,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,4,Queens,2005-2007,54.8
130785,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,4,Queens,2005-2007,54.8
130786,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,5,Staten Island,2005-2007,70.7
130786,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,5,Staten Island,2005-2007,70.7
131598,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,1,Bronx,2009-2011,55
131598,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,1,Bronx,2009-2011,55
131599,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,2,Brooklyn,2009-2011,50.1
131599,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,2,Brooklyn,2009-2011,50.1
131600,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,3,Manhattan,2009-2011,50
131601,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,4,Queens,2009-2011,40.5
131601,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,4,Queens,2009-2011,40.5
131602,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,5,Staten Island,2009-2011,51.7
131602,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Borough,5,Staten Island,2009-2011,51.7
130781,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Citywide,1,New York City,2005-2007,64.7
130781,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Citywide,1,New York City,2005-2007,64.7
131597,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Citywide,1,New York City,2009-2011,48.2
131597,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,Citywide,1,New York City,2009-2011,48.2
130355,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,101,Kingsbridge - Riverdale,2005-2007,117.7
130355,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,101,Kingsbridge - Riverdale,2005-2007,117.7
130356,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,102,Northeast Bronx,2005-2007,77.3
130356,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,102,Northeast Bronx,2005-2007,77.3
130357,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,103,Fordham - Bronx Pk,2005-2007,67.3
130357,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,103,Fordham - Bronx Pk,2005-2007,67.3
130358,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,104,Pelham - Throgs Neck,2005-2007,73.6
130358,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,104,Pelham - Throgs Neck,2005-2007,73.6
130359,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,105,Crotona -Tremont,2005-2007,65.8
130359,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,105,Crotona -Tremont,2005-2007,65.8
130360,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,106,High Bridge - Morrisania,2005-2007,84.8
130360,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,106,High Bridge - Morrisania,2005-2007,84.8
130361,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,107,Hunts Point - Mott Haven,2005-2007,71
130361,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,107,Hunts Point - Mott Haven,2005-2007,71
130362,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,201,Greenpoint,2005-2007,64
130362,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,201,Greenpoint,2005-2007,64
130363,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,202,Downtown - Heights - Slope,2005-2007,58.9
130363,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,202,Downtown - Heights - Slope,2005-2007,58.9
130364,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,203,Bedford Stuyvesant - Crown Heights,2005-2007,80
130364,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,203,Bedford Stuyvesant - Crown Heights,2005-2007,80
130365,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,204,East New York,2005-2007,64.1
130365,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,204,East New York,2005-2007,64.1
130366,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,205,Sunset Park,2005-2007,49.2
130366,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,205,Sunset Park,2005-2007,49.2
130367,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,206,Borough Park,2005-2007,68.2
130367,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,206,Borough Park,2005-2007,68.2
130368,639,PM2.5-Attributable Deaths ,Rate - Adults 30 Yrs and Older,UHF42,207,East Flatbush - Flatbush,2005-2007,54.9
