Yr,Mn,Date_excel,Date,CO2_ppm,seasonally_adjusted_ppm,fit_ppm,seasonally_adjusted_fit,CO2_filled_ppm,seasonally_adjusted_filled_ppm
1958,1,21200,1958.0411,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,2,21231,1958.126,-99.99,-99.99,-99.99,-99.99,-99.99,-99.99
1958,3,21259,1958.2027,315.7,314.43,316.18,314.9,315.7,314.43
1958,4,21290,1958.2877,317.45,315.16,317.29,314.98,317.45,315.16
1958,5,21320,1958.3699,317.51,314.72,317.84,315.06,317.51,314.72
1958,6,21351,1958.4548,-99.99,-99.99,317.23,315.14,317.23,315.14
1958,7,21381,1958.537,315.86,315.18,315.87,315.21,315.86,315.18
1958,8,21412,1958.6219,314.93,316.17,314.01,315.29,314.93,316.17
1958,9,21443,1958.7068,313.2,316.07,312.47,315.35,313.2,316.07
1958,10,21473,1958.789,-99.99,-99.99,312.44,315.4,312.44,315.4
1958,11,21504,1958.874,313.33,315.2,313.61,315.46,313.33,315.2
1958,12,21534,1958.9562,314.67,315.44,314.76,315.51,314.67,315.44
1959,1,21565,1959.0411,315.58,315.55,315.61,315.57,315.58,315.55
1959,2,21596,1959.126,316.48,315.87,316.25,315.63,316.48,315.87
1959,3,21624,1959.2027,316.65,315.37,316.98,315.69,316.65,315.37
1959,4,21655,1959.2877,317.72,315.41,318.09,315.76,317.72,315.41
1959,5,21685,1959.3699,318.29,315.5,318.64,315.84,318.29,315.5
1959,6,21716,1959.4548,318.15,316.03,318.03,315.93,318.15,316.03
1959,7,21746,1959.537,316.54,315.85,316.68,316.02,316.54,315.85
1959,8,21777,1959.6219,314.8,316.05,314.84,316.12,314.8,316.05
1959,9,21808,1959.7068,313.84,316.71,313.32,316.22,313.84,316.71
1959,10,21838,1959.789,313.33,316.32,313.33,316.3,313.33,316.32
1959,11,21869,1959.874,314.81,316.69,314.54,316.39,314.81,316.69
1959,12,21899,1959.9562,315.58,316.36,315.72,316.47,315.58,316.36
1960,1,21930,1960.041,316.43,316.4,316.59,316.56,316.43,316.4
1960,2,21961,1960.1257,316.98,316.36,317.26,316.64,316.98,316.36
1960,3,21990,1960.2049,317.58,316.28,318.03,316.72,317.58,316.28
1960,4,22021,1960.2896,319.03,316.7,319.15,316.8,319.03,316.7
1960,5,22051,1960.3716,320.03,317.23,319.67,316.87,320.03,317.23
1960,6,22082,1960.4563,319.59,317.48,319.02,316.93,319.59,317.48
1960,7,22112,1960.5383,318.18,317.51,317.61,316.98,318.18,317.51
1960,8,22143,1960.623,315.9,317.18,315.7,317.01,315.9,317.18
1960,9,22174,1960.7077,314.17,317.06,314.13,317.04,314.17,317.06
1960,10,22204,1960.7896,313.83,316.83,314.09,317.07,313.83,316.83
1960,11,22235,1960.8743,315,316.88,315.25,317.1,315,316.88
1960,12,22265,1960.9563,316.19,316.96,316.39,317.14,316.19,316.96
1961,1,22296,1961.0411,316.9,316.87,317.23,317.19,316.9,316.87
1961,2,22327,1961.126,317.7,317.09,317.88,317.26,317.7,317.09
1961,3,22355,1961.2027,318.54,317.25,318.63,317.33,318.54,317.25
1961,4,22386,1961.2877,319.48,317.15,319.75,317.41,319.48,317.15
1961,5,22416,1961.3699,320.58,317.77,320.31,317.5,320.58,317.77
1961,6,22447,1961.4548,319.77,317.64,319.7,317.59,319.77,317.64
1961,7,22477,1961.537,318.57,317.88,318.34,317.68,318.57,317.88
1961,8,22508,1961.6219,316.79,318.05,316.47,317.76,316.79,318.05
1961,9,22539,1961.7068,314.99,317.88,314.93,317.85,314.99,317.88
1961,10,22569,1961.789,315.31,318.32,314.92,317.92,315.31,318.32
1961,11,22600,1961.874,316.1,317.99,316.12,317.99,316.1,317.99
1961,12,22630,1961.9562,317.01,317.79,317.3,318.06,317.01,317.79
1962,1,22661,1962.0411,317.94,317.92,318.16,318.13,317.94,317.92
1962,2,22692,1962.126,318.55,317.93,318.82,318.19,318.55,317.93
1962,3,22720,1962.2027,319.68,318.39,319.56,318.26,319.68,318.39
1962,4,22751,1962.2877,320.57,318.24,320.67,318.32,320.57,318.24
1962,5,22781,1962.3699,321.02,318.19,321.21,318.39,321.02,318.19
1962,6,22812,1962.4548,320.62,318.48,320.57,318.45,320.62,318.48
1962,7,22842,1962.537,319.61,318.92,319.17,318.5,319.61,318.92
1962,8,22873,1962.6219,317.4,318.67,317.26,318.56,317.4,318.67
1962,9,22904,1962.7068,316.25,319.15,315.68,318.6,316.25,319.15
1962,10,22934,1962.789,315.42,318.44,315.63,318.64,315.42,318.44
1962,11,22965,1962.874,316.69,318.59,316.8,318.68,316.69,318.59
1962,12,22995,1962.9562,317.7,318.48,317.95,318.72,317.7,318.48
1963,1,23026,1963.0411,318.74,318.71,318.8,318.76,318.74,318.71
1963,2,23057,1963.126,319.07,318.45,319.44,318.81,319.07,318.45
1963,3,23085,1963.2027,319.86,318.57,320.16,318.85,319.86,318.57
1963,4,23116,1963.2877,321.38,319.04,321.26,318.91,321.38,319.04
1963,5,23146,1963.3699,322.25,319.41,321.79,318.96,322.25,319.41
1963,6,23177,1963.4548,321.48,319.33,321.14,319.01,321.48,319.33
1963,7,23207,1963.537,319.74,319.04,319.72,319.05,319.74,319.04
1963,8,23238,1963.6219,317.77,319.04,317.79,319.1,317.77,319.04
1963,9,23269,1963.7068,316.21,319.13,316.2,319.14,316.21,319.13
1963,10,23299,1963.789,315.99,319.02,316.16,319.18,315.99,319.02
1963,11,23330,1963.874,317.07,318.97,317.34,319.22,317.07,318.97
1963,12,23360,1963.9562,318.35,319.13,318.5,319.27,318.35,319.13
1964,1,23391,1964.041,319.57,319.54,319.35,319.32,319.57,319.54
1964,2,23422,1964.1257,-99.99,-99.99,319.99,319.36,319.99,319.36
1964,3,23451,1964.2049,-99.99,-99.99,320.74,319.41,320.74,319.41
1964,4,23482,1964.2896,-99.99,-99.99,321.84,319.45,321.84,319.45
1964,5,23512,1964.3716,322.25,319.41,322.33,319.49,322.25,319.41
1964,6,23543,1964.4563,321.89,319.75,321.64,319.53,321.89,319.75
1964,7,23573,1964.5383,320.44,319.76,320.2,319.56,320.44,319.76
1964,8,23604,1964.623,318.69,319.99,318.25,319.58,318.69,319.99
1964,9,23635,1964.7077,316.7,319.64,316.65,319.6,316.7,319.64
1964,10,23665,1964.7896,316.87,319.91,316.59,319.62,316.87,319.91
1964,11,23696,1964.8743,317.68,319.58,317.75,319.63,317.68,319.58
1964,12,23726,1964.9563,318.71,319.49,318.89,319.65,318.71,319.49
1965,1,23757,1965.0411,319.44,319.41,319.72,319.68,319.44,319.41
1965,2,23788,1965.126,320.44,319.82,320.35,319.72,320.44,319.82
1965,3,23816,1965.2027,320.89,319.59,321.08,319.76,320.89,319.59
1965,4,23847,1965.2877,322.14,319.78,322.2,319.83,322.14,319.78
1965,5,23877,1965.3699,322.17,319.31,322.76,319.9,322.17,319.31
1965,6,23908,1965.4548,321.87,319.71,322.14,319.99,321.87,319.71
1965,7,23938,1965.537,321.21,320.5,320.77,320.09,321.21,320.5
1965,8,23969,1965.6219,318.87,320.14,318.89,320.2,318.87,320.14
1965,9,24000,1965.7068,317.82,320.75,317.36,320.32,317.82,320.75
1965,10,24030,1965.789,317.3,320.36,317.39,320.43,317.3,320.36
1965,11,24061,1965.874,318.87,320.78,318.65,320.55,318.87,320.78
1965,12,24091,1965.9562,319.42,320.2,319.89,320.66,319.42,320.2
1966,1,24122,1966.0411,320.62,320.6,320.82,320.78,320.62,320.6
1966,2,24153,1966.126,321.59,320.97,321.54,320.91,321.59,320.97
1966,3,24181,1966.2027,322.39,321.08,322.34,321.01,322.39,321.08
1966,4,24212,1966.2877,323.7,321.33,323.51,321.12,323.7,321.33
1966,5,24242,1966.3699,324.08,321.21,324.09,321.23,324.08,321.21
1966,6,24273,1966.4548,323.75,321.58,323.48,321.32,323.75,321.58
1966,7,24303,1966.537,322.38,321.68,322.08,321.41,322.38,321.68
1966,8,24334,1966.6219,320.36,321.64,320.17,321.48,320.36,321.64
1966,9,24365,1966.7068,318.64,321.59,318.59,321.55,318.64,321.59
1966,10,24395,1966.789,318.1,321.17,318.57,321.62,318.1,321.17
1966,11,24426,1966.874,319.78,321.71,319.78,321.68,319.78,321.71
1966,12,24456,1966.9562,321.03,321.82,320.97,321.74,321.03,321.82
1967,1,24487,1967.0411,322.33,322.3,321.84,321.8,322.33,322.3
1967,2,24518,1967.126,322.5,321.87,322.49,321.85,322.5,321.87
1967,3,24546,1967.2027,323.04,321.73,323.23,321.9,323.04,321.73
1967,4,24577,1967.2877,324.42,322.04,324.35,321.96,324.42,322.04
1967,5,24607,1967.3699,325,322.12,324.89,322.01,325,322.12
1967,6,24638,1967.4548,324.09,321.91,324.23,322.07,324.09,321.91
1967,7,24668,1967.537,322.54,321.84,322.81,322.13,322.54,321.84
1967,8,24699,1967.6219,320.92,322.2,320.88,322.2,320.92,322.2
1967,9,24730,1967.7068,319.25,322.21,319.29,322.27,319.25,322.21
1967,10,24760,1967.789,319.39,322.47,319.28,322.34,319.39,322.47
1967,11,24791,1967.874,320.73,322.66,320.51,322.42,320.73,322.66
1967,12,24821,1967.9562,321.96,322.75,321.72,322.49,321.96,322.75
1968,1,24852,1968.041,322.57,322.54,322.61,322.57,322.57,322.54
1968,2,24883,1968.1257,323.14,322.52,323.29,322.65,323.14,322.52
1968,3,24912,1968.2049,323.89,322.55,324.09,322.73,323.89,322.55
1968,4,24943,1968.2896,325.02,322.62,325.24,322.82,325.02,322.62
1968,5,24973,1968.3716,325.57,322.68,325.8,322.92,325.57,322.68
1968,6,25004,1968.4563,325.36,323.19,325.18,323.03,325.36,323.19
1968,7,25034,1968.5383,324.14,323.45,323.79,323.13,324.14,323.45
1968,8,25065,1968.623,322.11,323.43,321.9,323.25,322.11,323.43
1968,9,25096,1968.7077,320.33,323.31,320.37,323.37,320.33,323.31
1968,10,25126,1968.7896,320.25,323.33,320.41,323.48,320.25,323.33
1968,11,25157,1968.8743,321.32,323.26,321.7,323.61,321.32,323.26
1968,12,25187,1968.9563,322.89,323.69,322.96,323.74,322.89,323.69
1969,1,25218,1969.0411,324,323.98,323.92,323.88,324,323.98
1969,2,25249,1969.126,324.42,323.78,324.67,324.03,324.42,323.78
1969,3,25277,1969.2027,325.63,324.31,325.5,324.16,325.63,324.31
1969,4,25308,1969.2877,326.66,324.27,326.71,324.3,326.66,324.27
1969,5,25338,1969.3699,327.38,324.48,327.34,324.44,327.38,324.48
1969,6,25369,1969.4548,326.71,324.51,326.75,324.57,326.71,324.51
1969,7,25399,1969.537,325.88,325.17,325.37,324.69,325.88,325.17
1969,8,25430,1969.6219,323.66,324.96,323.47,324.8,323.66,324.96
1969,9,25461,1969.7068,322.38,325.36,321.91,324.9,322.38,325.36
1969,10,25491,1969.789,321.78,324.88,321.91,324.99,321.78,324.88
1969,11,25522,1969.874,322.85,324.8,323.15,325.08,322.85,324.8
1969,12,25552,1969.9562,324.12,324.91,324.37,325.16,324.12,324.91
1970,1,25583,1970.0411,325.06,325.04,325.28,325.24,325.06,325.04
1970,2,25614,1970.126,325.98,325.35,325.97,325.32,325.98,325.35
1970,3,25642,1970.2027,326.93,325.6,326.74,325.39,326.93,325.6
1970,4,25673,1970.2877,328.14,325.74,327.89,325.47,328.14,325.74
1970,5,25703,1970.3699,328.08,325.17,328.46,325.55,328.08,325.17
1970,6,25734,1970.4548,327.67,325.46,327.81,325.63,327.67,325.46
1970,7,25764,1970.537,326.34,325.63,326.39,325.7,326.34,325.63
1970,8,25795,1970.6219,324.69,325.99,324.44,325.77,324.69,325.99
1970,9,25826,1970.7068,323.1,326.09,322.82,325.83,323.1,326.09
1970,10,25856,1970.789,323.07,326.18,322.79,325.88,323.07,326.18
1970,11,25887,1970.874,324.01,325.96,324,325.93,324.01,325.96
1970,12,25917,1970.9562,325.13,325.93,325.18,325.97,325.13,325.93
1971,1,25948,1971.0411,326.17,326.14,326.05,326.01,326.17,326.14
1971,2,25979,1971.126,326.68,326.04,326.69,326.05,326.68,326.04
1971,3,26007,1971.2027,327.17,325.84,327.43,326.08,327.17,325.84
1971,4,26038,1971.2877,327.79,325.38,328.56,326.13,327.79,325.38
1971,5,26068,1971.3699,328.92,326.01,329.11,326.19,328.92,326.01
1971,6,26099,1971.4548,328.57,326.36,328.45,326.26,328.57,326.36
1971,7,26129,1971.537,327.36,326.64,327.02,326.33,327.36,326.64
1971,8,26160,1971.6219,325.43,326.73,325.06,326.4,325.43,326.73
1971,9,26191,1971.7068,323.36,326.36,323.45,326.47,323.36,326.36
1971,10,26221,1971.789,323.56,326.68,323.44,326.54,323.56,326.68
1971,11,26252,1971.874,324.8,326.75,324.68,326.62,324.8,326.75
1971,12,26282,1971.9562,326.01,326.82,325.91,326.7,326.01,326.82
1972,1,26313,1972.041,326.77,326.74,326.82,326.78,326.77,326.74
1972,2,26344,1972.1257,327.63,326.99,327.52,326.87,327.63,326.99
1972,3,26373,1972.2049,327.75,326.39,328.35,326.97,327.75,326.39
1972,4,26404,1972.2896,329.73,327.28,329.55,327.09,329.73,327.28
1972,5,26434,1972.3716,330.07,327.14,330.14,327.22,330.07,327.14
1972,6,26465,1972.4563,329.09,326.89,329.55,327.37,329.09,326.89
1972,7,26495,1972.5383,328.04,327.35,328.19,327.53,328.04,327.35
1972,8,26526,1972.623,326.32,327.66,326.34,327.71,326.32,327.66
1972,9,26557,1972.7077,324.84,327.86,324.86,327.9,324.84,327.86
1972,10,26587,1972.7896,325.2,328.33,324.98,328.1,325.2,328.33
1972,11,26618,1972.8743,326.5,328.46,326.36,328.3,326.5,328.46
1972,12,26648,1972.9563,327.55,328.36,327.72,328.51,327.55,328.36
1973,1,26679,1973.0411,328.55,328.52,328.75,328.72,328.55,328.52
1973,2,26710,1973.126,329.56,328.92,329.58,328.92,329.56,328.92
1973,3,26738,1973.2027,330.3,328.96,330.47,329.11,330.3,328.96
1973,4,26769,1973.2877,331.5,329.07,331.75,329.3,331.5,329.07
1973,5,26799,1973.3699,332.48,329.54,332.42,329.48,332.48,329.54
1973,6,26830,1973.4548,332.07,329.84,331.85,329.64,332.07,329.84
