time,lat,lon,speed,altitude,thermocouple_t,ada_humidity,ada_temp,ir_amb,ir_obj,date
22:25:02.000,40.6718,-73.9631,18.72372,36.7,31.21875,48.8,31.2,32.13,40.67001,05/08/2018
22:25:02.000,40.6718,-73.9631,18.72372,36.7,31.54688,48.7,31.2,32.14999,41.45001,05/08/2018
22:25:04.984,40.67185,-73.96329,18.72372,36.9,31.70313,48.7,31.2,32.14999,40.85001,05/08/2018
22:25:06.000,40.67187,-73.96336,19.13116,36.9,31.84375,48.7,31.2,32.14999,40.79001,05/08/2018
22:25:07.000,40.67189,-73.96342,19.24228,36.9,32.10938,48.7,31.2,32.23001,40.88998,05/08/2018
22:25:08.000,40.67191,-73.96349,19.1682,36.9,32.17969,48.9,31.3,32.23001,41.07001,05/08/2018
22:25:08.984,40.67192,-73.96355,17.94588,36.9,32.1875,48.9,31.3,32.23001,41.19,05/08/2018
22:25:11.000,40.67196,-73.96367,18.00144,36.9,32.04688,48.5,31.3,32.25,40.07001,05/08/2018
22:25:12.000,40.67197,-73.96374,16.03832,36.9,31.70313,48.5,31.3,32.20999,41.03,05/08/2018
22:25:12.984,40.67199,-73.96378,15.16788,36.9,31.70313,48.1,31.3,32.19,41.35001,05/08/2018
22:25:14.000,40.672,-73.96383,15.0938,36.9,31.67188,48.1,31.3,32.20999,41.82999,05/08/2018
22:25:16.000,40.67203,-73.96392,15.0938,34.1,31.71094,47.9,31.3,32.19,41.42999,05/08/2018
22:25:16.984,40.67205,-73.96398,14.29744,34.1,31.82813,47.9,31.3,32.19,41.63,05/08/2018
22:25:18.000,40.67205,-73.96403,15.59384,34.1,31.75781,47.6,31.2,32.19,41.92999,05/08/2018
22:25:19.000,40.67206,-73.96408,14.76044,34.1,31.84375,47.6,31.2,32.19,41.54999,05/08/2018
22:25:20.000,40.67207,-73.96413,13.59368,34.1,32.0625,47.6,31.1,32.20999,41.92999,05/08/2018
22:25:20.984,40.67208,-73.96416,12.5936,34.1,32.03125,47.6,31.1,32.19,41.92999,05/08/2018
22:25:23.000,40.6721,-73.96425,10.76012,34.1,32.15625,47.7,31.2,32.20999,40.92999,05/08/2018
22:25:24.000,40.67211,-73.96428,9.92672,34.1,32.13281,47.7,31.2,32.23001,39.70999,05/08/2018
22:25:24.984,40.67212,-73.96432,8.40808,34.1,32,47.7,31.3,32.23001,39.03,05/08/2018
22:25:26.000,40.67212,-73.96433,7.72284,34.1,31.88281,47.7,31.3,32.23001,38.59,05/08/2018
22:25:28.000,40.67214,-73.96438,7.72284,28.8,31.77344,47.8,31.3,32.26999,35.76999,05/08/2018
22:25:35.000,40.6722,-73.9645,11.77872,28.8,31.6875,48,31.3,32.23001,40.85001,05/08/2018
22:25:36.000,40.67222,-73.96453,13.3344,28.8,31.85938,48,31.3,32.26999,40.64999,05/08/2018
22:25:36.984,40.67225,-73.96458,15.8346,28.8,31.84375,47.8,31.3,32.26999,39.26999,05/08/2018
22:25:38.000,40.67226,-73.96464,14.68636,28.8,31.72656,47.8,31.3,32.26999,38.51001,05/08/2018
22:25:40.000,40.67229,-73.96474,14.68636,26.2,31.61719,47.9,31.3,32.25,36.13,05/08/2018
22:25:40.984,40.67231,-73.9648,16.05684,26.2,31.51563,47.9,31.3,32.29001,35.14999,05/08/2018
22:25:42.000,40.67233,-73.96485,17.4088,26.2,31.625,47.9,31.2,32.26999,38.75,05/08/2018
22:25:43.000,40.67234,-73.96492,18.09404,26.2,31.73438,47.9,31.2,32.26999,40.67001,05/08/2018
22:25:44.000,40.67236,-73.96498,18.55704,26.2,31.85938,47.9,31.2,32.29001,41.35001,05/08/2018
22:25:44.984,40.67238,-73.96505,18.68668,26.2,31.85938,47.9,31.2,32.29001,40.64999,05/08/2018
22:25:47.000,40.67242,-73.96517,18.6126,26.2,31.39844,47.9,31.2,32.20999,38.41,05/08/2018
22:25:48.000,40.67243,-73.96523,18.983,26.2,31.02344,47.9,31.2,32.20999,36.57001,05/08/2018
22:25:48.984,40.67245,-73.96529,18.8904,26.2,30.96875,48.2,31.2,32.14999,43.01001,05/08/2018
22:25:50.000,40.67247,-73.96535,19.66824,26.2,31.125,48.2,31.2,32.14999,42.57001,05/08/2018
22:25:52.000,40.67251,-73.96549,19.66824,24.5,31.51563,48.7,31.1,32.14999,42.01001,05/08/2018
22:25:52.984,40.67253,-73.96556,21.14984,24.5,31.4375,48.7,31.1,32.13,41.73001,05/08/2018
22:25:54.000,40.67255,-73.96563,21.05724,24.5,31,48.8,31.2,32.07001,41.47,05/08/2018
22:25:55.000,40.67257,-73.9657,21.07576,24.5,31.13281,48.8,31.2,32.09,39.47,05/08/2018
22:25:56.000,40.67259,-73.96577,20.7424,24.5,31.28906,48.7,31.1,32.09,39.88998,05/08/2018
22:25:56.984,40.67261,-73.96584,21.16836,24.5,31.41406,48.7,31.1,32.04999,37.17001,05/08/2018
22:25:59.000,40.67264,-73.96598,22.94628,24.5,31.05469,49.7,31.2,32.01001,37.29001,05/08/2018
22:26:00.000,40.67266,-73.96606,22.5944,24.5,30.90625,49.7,31.2,31.98999,39.91,05/08/2018
22:26:00.984,40.67268,-73.96613,22.55736,24.5,31.10938,49.6,31.1,31.98999,42.19,05/08/2018
22:26:02.000,40.6727,-73.96621,23.0574,24.5,30.90625,49.6,31.1,31.91,41.63,05/08/2018
22:26:04.000,40.67274,-73.96635,23.0574,18.3,30.77344,50.1,31.1,31.91,40.47,05/08/2018
