"","Timestamp","Transport_Mode","Starting_From","Ending_At","Date","Trip_Start","Trip_End","Notes","Latitude_Start","Longitude_Start","Latitude_End","Longitude_End","Distance_Traveled","Trip_Duration","Additional.Notes","Google_Latitude_Start","Google_Longitude_Start","Google_Latitude_End","Google_Longitude_End","google_transit_mode","origin_address","destination_address","distance_meters","duration_seconds","co2_emissions"
"3",2018-09-16 18:46:28,"Walking","SVA DSI","21st Street Station",2018-09-13,2018-09-13 21:00:00,2018-09-13 21:10:00,"Walking to subway",40.74,-74,40.744359,-73.995737,0.2,10,"Walking to the subway after class",40.6467794,-75.9891561636364,40.6490033272727,-75.9884693181818,"walking","220 W 16th St, New York, NY 10011, USA","205 W 23rd St, New York, NY 10011, USA",657,500,0
"1",2018-09-16 18:54:52,"Train/Subway","21st Street Station","79th Street Station",2018-09-13,2018-09-13 21:10:00,2018-09-13 21:40:00,"Train Home",40.744172,-73.995685,40.784396,-73.980055,3.1,30,"Train home",40.6394088,-76.18771965,40.6708389818182,-75.9771572181818,"transit","23 Street Station, New York, NY 10011, USA","248 W 80th St, New York, NY 10024, USA",4849,826,67.886
"2",2018-09-16 18:52:21,"Walking","21st Street Station","79th street station",2018-09-13,2018-09-13 21:10:00,2018-09-13 21:40:00,"Train home from class",40.744172,-73.995685,40.784396,-73.980055,3.1,30,"Train home from class",40.6394088,-76.18771965,40.6708389818182,-75.9771572181818,"walking","23 Street Station, New York, NY 10011, USA","2231 Broadway # A, New York, NY 10024, USA",4913,3769,0
"8",2018-09-16 18:57:42,"Walking","Home","79th Street Station",2018-09-14,2018-09-14 20:15:00,2018-09-14 20:25:00,"Walking to the train to go to NoMad",40.79,-73.98,40.785204,-73.97952,0.3,10,"Walking to the train to go to NoMad",40.6728873545455,-75.9771179454545,40.65973578,-76.17673682,"walking","353 W 86th St, New York, NY 10024, USA","252 W 81st St, New York, NY 10024, USA",653,480,0
"7",2018-09-16 19:01:40,"Train/Subway","79th street station","28th street Station",2018-09-14,2018-09-14 20:25:00,2018-09-14 20:40:00,"Train to NoMad",40.78488,-73.979717,40.746705,-73.993806,2.8,15,"Train from 79th to NoMad",40.6709849636364,-75.9770810181818,40.6505273818182,-75.9868111090909,"transit","2245 Broadway, New York, NY 10024, USA","199 W 27th St, New York, NY 10001, USA",4570,874,63.98
"6",2018-09-16 19:04:43,"Walking","28th Street Station","NoMad Bar",2018-09-14,2018-09-14 20:45:00,2018-09-14 21:00:00,"Walking from the Train to Nomad",40.749179,-73.993128,40.745223,-73.988485,0.3,15,"Walking from the station to the bar",40.64167453,-76.18594447,40.658552425,-75.8169527833333,"walking","216b W 30th St, New York, NY 10001, USA","1178 Broadway, New York, NY 10001, USA",661,509,0
"5",2018-09-16 19:07:05,"Walking","NoMad Bar","Ace Hotel",2018-09-14,2018-09-14 21:10:00,2018-09-14 21:20:00,"Walking from NoMad to Ace",40.744958,-73.988596,40.745991,-73.988271,0.1,10,"Walking from NoMad to Ace",40.64118176,-76.18270988,40.6508922363636,-75.9831749181818,"walking","1170 Broadway, New York, NY 10001, USA","25 W 29th St, New York, NY 10001, USA",146,110,0
"4",2018-09-16 19:09:42,"Walking","Ace Hotel","28th Street Station",2018-09-14,2018-09-14 22:30:00,2018-09-14 22:35:00,"Walking from Ace to 28th Street Station, on my way home",40.745858,-73.98828,40.747101,-73.993978,0.3,5,"Walking from Ace Bar to the 28th Street Station on my way home",40.6508426636364,-75.9831694818182,40.64098103,-76.18615618,"walking","22 W 29th St, New York, NY 10001, USA","305 7th Ave, New York, NY 10001, USA",567,424,0
"15",2018-09-16 19:12:56,"Bike","Home","17 W 71st",2018-09-15,2018-09-15 11:45:00,2018-09-15 12:00:00,"Biking to Gail's on our way to PUPPIES",40.79,-73.9,40.775996,-73.977126,0.9,15,"Biking to Gails on our way to look at puppies!",40.75350705,-73.85071995,40.6656776090909,-75.9775023272727,"bicycling","Unnamed Road, Queens, NY 11105, USA","12 W 71st St, New York, NY 10023, USA",13181,3467,0
"14",2018-09-16 19:18:01,"On Demand Automobile Service (e.g. taxi, Lyft, Uber, Via, Car2Go, etc)","17 W 71st","Hopeville Labs",2018-09-15,2018-09-15 12:00:00,2018-09-15 14:00:00,"Car from Gail's to puppies",40.776575,-73.977111,41.421578,-72.996874,81.1,120,"Driving to see puppies!",40.65489041,-76.17751574,40.8916628625,-75.8247304,"transit","40.776575,-73.977111","41.421578,-72.996874",0,0,0
