Timestamp,Transport_Mode,Starting_From,Ending_At,Date,Trip_Start,Trip_End,Notes,Latitude_Start,Longitude_Start,Latitude_End,Longitude_End,Distance_Traveled,Trip_Duration,Additional Notes
9/16/2018 18:54:52,Train/Subway,21st Street Station,79th Street Station,9/13/2018,9:10:00 PM,9:40:00 PM,Train Home,40.744172,-73.995685,40.784396,-73.980055,3.1,30,Train home
9/16/2018 18:52:21,Walking,21st Street Station,79th street station,9/13/2018,9:10:00 PM,9:40:00 PM,Train home from class,40.744172,-73.995685,40.784396,-73.980055,3.1,30,Train home from class
9/16/2018 18:46:28,Walking,SVA DSI,21st Street Station,9/13/2018,9:00:00 PM,9:10:00 PM,Walking to subway,40.74,-74,40.744359,-73.995737,0.2,5,Walking to the subway after class
9/16/2018 19:09:42,Walking,Ace Hotel,28th Street Station,9/14/2018,10:30:00 PM,10:35:00 PM,"Walking from Ace to 28th Street Station, on my way home",40.745858,-73.98828,40.747101,-73.993978,0.3,5,Walking from Ace Bar to the 28th Street Station on my way home
9/16/2018 19:07:05,Walking,NoMad Bar,Ace Hotel,9/14/2018,9:10:00 PM,9:20:00 PM,Walking from NoMad to Ace,40.744958,-73.988596,40.745991,-73.988271,0.1,5,Walking from NoMad to Ace
9/16/2018 19:04:43,Walking,28th Street Station,NoMad Bar,9/14/2018,8:45:00 PM,9:00:00 PM,Walking from the Train to Nomad,40.749179,-73.993128,40.745223,-73.988485,0.3,10,Walking from the station to the bar
9/16/2018 19:01:40,Train/Subway,79th street station,28th street Station,9/14/2018,8:25:00 PM,8:40:00 PM,Train to NoMad,40.78488,-73.979717,40.746705,-73.993806,2.8,15,Train from 79th to NoMad
9/16/2018 18:57:42,Walking,Home,79th Street Station,9/14/2018,8:15:00 PM,8:25:00 PM,Walking to the train to go to NoMad,40.79,-73.98,40.785204,-73.97952,0.3,10,Walking to the train to go to NoMad
9/14/2018 22:36:00,Train/Subway,483 Amsterdam,28th Street Station,9/14/2018,8:00:00 PM,8:30:00 PM,"Trip to NoMad hotel, ended at Ace Bar",,,,,,,
9/16/2018 19:27:58,Walking,Lorimer Street,Brooklyn Kitchen,9/15/2018,7:00:00 PM,7:15:00 PM,Walking from the station to Aubrey's dinner,40.714945,-73.949426,40.717813,-73.947648,0.4,15,Walking from the Lorimer Station to brooklyn Kitchen with Luke and Cory.
9/16/2018 19:24:47,Train/Subway,79th Street Station,Lorimer Station,9/15/2018,6:20:00 PM,7:00:00 PM,Train to Williamsburg for Aubrey's dinner. Met up with Luke and Cory.,40.784279,-73.979998,40.714125,-73.949398,6.8,40,Train from 79th to Lorimer to go to Aubrey's dinner. Met up with Cory and Luke
9/16/2018 19:21:58,Walking,Home,79th Street Station,9/15/2018,6:15:00 PM,6:20:00 PM,Walking to the subway to go to Aubrey's dinner,40.79,-73.98,40.784322,-73.980023,0.3,5,Walking to the subway to go to Aubrey's dinner. Stopped to get Splindrift
